roof_key	church	county	roof_type	desc_leaf	span_ft_in	truss_spacing_ft_in	member	dim_a	dim_b	status	note
st_martins_leicester	St Martin's Church, Leicester	Leicestershire	tie-beam (no principals)	82	23 0	12 6	Tie-beam	1 ft 8 in	1 ft 2 in	VERIFIED	Carries the entire roof; ridge and purlins bear on it via short templates (3 ft 6 in / 2 ft 6 in).
st_martins_leicester	St Martin's Church, Leicester	Leicestershire	tie-beam (no principals)	82	23 0	12 6	Cornice	10 in	8 in	VERIFIED	Framed into the tie-beam; does not touch the wall.
st_martins_leicester	St Martin's Church, Leicester	Leicestershire	tie-beam (no principals)	82	23 0	12 6	Purlin	10 in	10 in	VERIFIED
st_martins_leicester	St Martin's Church, Leicester	Leicestershire	tie-beam (no principals)	82	23 0	12 6	Ridge	10 in	9 in	VERIFIED
st_martins_leicester	St Martin's Church, Leicester	Leicestershire	tie-beam (no principals)	82	23 0	12 6	Common Rafter	6.5 in	4.5 in	VERIFIED
holy_trinity_cirencester	Chapel of the Holy Trinity, Cirencester	Gloucestershire	tie-beam	90	18 0	11 0	Tie-beam	2 ft 8 in	11 in	VERIFIED	Deepest tie-beam in the set. Supersedes the cycle-5 OCR-PARTIAL rows, which were Leicester values showing through and are now DELETED.
holy_trinity_cirencester	Chapel of the Holy Trinity, Cirencester	Gloucestershire	tie-beam	90	18 0	11 0	Cornice	1 ft 9 in	11 in	VERIFIED
holy_trinity_cirencester	Chapel of the Holy Trinity, Cirencester	Gloucestershire	tie-beam	90	18 0	11 0	Intermediate Principal	8 in thick		VERIFIED	Single-dimension entry (thickness only) as printed.
holy_trinity_cirencester	Chapel of the Holy Trinity, Cirencester	Gloucestershire	tie-beam	90	18 0	11 0	Braces	3 in thick		VERIFIED	Single-dimension entry as printed.
st_andrews_nave	St Andrew's Church	(unstated)	(hammer-beam context)	94	about 21 0		(no scantling table)			VERIFIED	Description gives only nave width, ~21 ft. Cites "Roof over the Nave of St Stephen's Church, Plates 32 and 33" — the anchor confirming plate N -> leaf 2N+61.
capel_st_mary_nave	Capel St Mary	Suffolk	hammer-beam	104	18 3	6 0	Principal Rafters	10 in	8 in	VERIFIED	A moulded three-inch plank is tenoned into the hammer-beams; openwork tracery inserted between it and the lowest purlin.
capel_st_mary_nave	Capel St Mary	Suffolk	hammer-beam	104	18 3	6 0	Common Rafters	6 in	3 in	VERIFIED
capel_st_mary_nave	Capel St Mary	Suffolk	hammer-beam	104	18 3	6 0	Hammer-beam	10 in	8 in	VERIFIED	Same section as principal rafters and collar-beam — one stock size serves three members.
capel_st_mary_nave	Capel St Mary	Suffolk	hammer-beam	104	18 3	6 0	Collar-beam	10 in	8 in	VERIFIED
capel_st_mary_nave	Capel St Mary	Suffolk	hammer-beam	104	18 3	6 0	Purlins	6 in	5 in	VERIFIED
